KURSKOD	KURSBENÄMNING	START	SLUT	SISTA ANSÖKNINGSDAG	ANSVARIG	ORT	Kategori	Platser	Övrigt
GKDNBI	GK2 DNBI Krigssjukvård	2026-04-18	2026-04-26	2026-02-04	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-05-09	2026-05-17	2026-02-25	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-06-06	2026-06-14	2026-03-25	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-08-15	2026-08-23	2026-06-03	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-09-19	2026-09-27	2026-07-08	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-10-17	2026-10-25	2026-08-05	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-11-14	2026-11-22	2026-09-02	RHS	Boden	Funktionsutbildningar		
GKDNBI	GK2 DNBI Krigssjukvård	2026-12-05	2026-12-13	2026-09-23	RHS	Boden	Funktionsutbildningar		
MAHGK119KB01	Bataljonchefskurs 1	2026-03-02	2026-03-11	2025-12-11	HvSS	Vällinge	Chefsutbildningar		
MAHFK2011218	Bataljonchefskurs 2	2026-08-31	2026-09-09	2026-06-13	HvSS	Vällinge	Chefsutbildningar		
MAHGK119KB00	Bataljonstridskurs	2026-04-13	2026-04-17	2026-01-30	HvSS	Vällinge	Chefsutbildningar		
MAHFK2011181	Gruppchefskurs 2	2026-04-20	2026-04-29	2026-01-31	HvSS	Vällinge	Chefsutbildningar		
MAHGK119KB11	Kompanichefskurs 1	2026-02-09	2026-02-18	2025-11-27	HvSS	Vällinge	Chefsutbildningar		
MAHGK119KB11	Kompanichefskurs 1	2026-10-26	2026-11-04	2026-08-14	HvSS	Vällinge	Chefsutbildningar		
MAHFK2011220	Kompanichefskurs 2	2026-08-31	2026-09-09	2026-06-13	HvSS	Vällinge	Chefsutbildningar		
MAHGK119KB10	Kompanistridskurs	2026-09-14	2026-09-18	2026-06-19	HvSS	Vällinge	Chefsutbildningar		
MAHGK119KB10	Kompanistridskurs	2026-10-12	2026-10-16	2026-08-07	HvSS	Vällinge	Chefsutbildningar		
MAHFK2011223	Plutonchefskurs 2	2026-04-20	2026-04-29	2026-01-31	HvSS	Vällinge	Chefsutbildningar		
MAHGK119IN00	Instruktörskurs Stabstjänst	2026-03-23	2026-03-26	2026-01-16	HvSS	Vällinge	Instruktörsutbildningar		
MAHGK119IN00	Instruktörskurs Stabstjänst	2026-11-16	2026-11-19	2026-09-18	HvSS	Vällinge	Instruktörsutbildningar		
MAHGK2019222	Kvartermästarkurs 1	2026-02-09	2026-02-18	2025-11-27	HvSS	Vällinge	Funktionsutbildningar		
MAHFÖ2019812	Nordisk Chefskurs	2026-11-08	2026-11-12	2026-06-19	HvSS	Danmark	Funktionsutbildningar		
MAHGK119FU03	Stabchefskurs	2026-05-04	2026-05-08	2026-02-22	HvSS	Vällinge	Funktionsutbildningar		
HVT424L0000	Stridsledning Sensor Hv	2026-01-26	2026-02-04	2025-11-14	HvSS	Vällinge	Funktionsutbildningar		
HVT424L0000	Stridsledning Sensor Hv	2026-05-18	2026-05-27	2026-03-06	HvSS	Vällinge	Funktionsutbildningar		
ÄMLGK705LE11	Indirekt Ledarskap (IL)	2026-02-05	2026-02-06	2025-11-27	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK705LE11	Indirekt Ledarskap (IL)	2026-09-17	2026-09-18	2026-06-19	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK705LE12	Ledarskap och Självkännedom (LoS)	2026-06-21	2026-06-23	2026-04-03	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK705LE13	Utveckling Grupp Ledare (UGL)	2026-05-11	2026-05-15	2026-02-27	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK705LE13	Utveckling Grupp Ledare (UGL)	2026-10-05	2026-10-09	2026-05-15	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK816LE10	Utvecklande Ledarskap (UL)	2026-02-02	2026-02-05	2025-11-27	HvSS	Vällinge	Ledarskapsutbildningar		
ÄMLGK816LE10	Utvecklande Ledarskap (UL)	2026-09-14	2026-09-17	2025-11-27	HvSS	Vällinge	Ledarskapsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-01-12	2026-01-21	2025-10-31	KRAG	Kosta	Chefsutbildningar	25	
MAHGK2011230	Gruppchefskurs 1	2026-03-23	2026-04-01	2026-01-09	SSK	Rinkaby	Chefsutbildningar	25	
MAHGK2011222	Plutonchefskurs 1	2026-01-12	2026-01-21	2025-10-31	KRAG	Kosta	Chefsutbildningar	15	
MAHGK2011222	Plutonchefskurs 1	2026-07-06	2026-08-16	2026-04-24	SSK	Revingehed	Chefsutbildningar	16	
MAHFK2011223	Plutonchefskurs 2	2026-11-03, 2027-02-05	2026-11-08, 2027-02-07	2026-08-30	BLG	Karlskrona	Chefsutbildningar	15	
MAHGK119FU02	Grundkurs stabstjänst	2026-01-30, 2026-02-13	2026-02-01, 2026-02-15	2025-11-16	BLG	F17	Funktionsutbildningar	25	
MAHFK2011181	Gruppchefskurs 2	2026-03-02	2026-03-11	2026-01-16	LVG	Kvarn	Chefsutbildningar	24	
MAHFK2011181	Gruppchefskurs 2	2026-07-06	2026-08-16	2026-04-24	SSK	Revingehed	Chefsutbildningar	24	
MAHFK2011181	Gruppchefskurs 2	2026-11-03, 2027-02-05	2026-11-08, 2027-02-07	2026-08-30	BLG	Karlskrona	Chefsutbildningar	24	
MAHFK2011231	Gruppchefskurs 3	2027-04-02	2027-04-11	2027-01-17	BLG	Kosta	Chefsutbildningar	30	
MAHGK119KB00	Bataljonstridskurs	2026-04-24, 2026-05-08	2026-04-26, 2026-05-10	2026-02-15	BLG	F17	Chefsutbildningar	18	
MAHGK119VA00	Intro	2026-02-27	2026-03-01	2026-01-16	LVG	Kvarn	Funktionsutbildningar	40	
MAHGK119VA00	Intro	2026-02-27	2026-03-01	2026-01-16	KRAG	Kosta	Funktionsutbildningar	40	
MAHGK119VA00	Intro	2026-05-15	2026-05-17	2026-04-02	LVG	Kvarn	Funktionsutbildningar	40	
MAHGK119VA00	Intro	2026-06-12	2026-06-14	2026-03-31	KRAG	Kosta	Funktionsutbildningar	40	
MAHGK119VA00	Intro	2026-08-28	2026-08-30	2026-06-12	LVG	Kvarn	Funktionsutbildningar	40	
MAHGK119VA00	Intro	2026-11-06	2026-11-08	2026-09-25	BLG	Karlskrona	Funktionsutbildningar	40	
UNDGK311SF11	IK-skyddsvakt	2026-03-05	2026-03-08	2026-01-02	BLG	Karlskrona	Funktionsutbildningar	12	
UND424ISF45	Skyddsvakt grundutbildning (Skvakt GU)	2026-03-06	2026-03-08	2026-01-02	BLG	Karlskrona	Funktionsutbildningar	30	
MAHGK119VA04	Basförmåga KSP 58	2026-03-23	2026-03-29	2026-01-09	SSK	Rinkaby	Funktionsutbildningar	16	
MAHGK119VA04	Basförmåga KSP 58	2026-04-02	2026-04-04	2026-01-16	BLG	Kosta	Funktionsutbildningar	12	
MAHGK119VA01	Basförmåga 8,4 cm GRG	2026-03-23	2026-03-29	2026-01-09	SSK	Rinkaby	Funktionsutbildningar	16	
MAHGK119VA01	Basförmåga 8,4 cm GRG	2026-04-02	2026-04-04	2026-01-16	BLG	Kosta	Funktionsutbildningar	12	
MAHGK119FU02	GK stabstjänst	2026-05-13	2026-05-17	2026-03-01	KRAG	Kosta	Funktionsutbildningar	20	
MAHGK119FU02	GK Stabstjänst	2026-11-25	2026-11-29	2026-09-13	KRAG	Kosta	Funktionsutbildningar	20	
HVT423F1000	GK ÖLAK	2026-05-25	2026-06-03	2026-04-10	LVG	Kvarn	Instruktörsutbildningar	20	
MAHGK9090001	Instruktörskurs 1	2026-06-01	2026-06-10	2026-03-06	SSK	Rinkaby	Instruktörsutbildningar	24	
MAHGK119GP00	Gruppchefskurs X	2026-06-27	2026-07-06	2026-03-22	MRM	ESO	Chefsutbildningar		
MAHGK8100030	Plutonchef 1-2	2026-03-18	2026-03-29	2026-01-11	SLG	Strängnäs	Chefsutbildningar		
GC12	Gruppchef 1-2	2026-03-18	2026-03-29	2026-01-11	SLG	Strängnäs	Chefsutbildningar		
MAHGK5111102	PB8	2026-03-16	2026-03-22	2026-01-11	GBG	Gävle	Funktionsutbildningar		
MAHGK5111102	PB8	2026-06-29	2026-07-05	2026-03-22	GBG	Gävle	Funktionsutbildningar		
UTPGK450KU02	Kombattantutbildning	2026-10-19	2026-10-23	2026-08-07	MRM	ESO	Grundläggande militärutbildning		
MAHGK119FU02	GK Stabstjänst	2026-10-19	2026-10-23	2026-08-07	MRM	ESO	Funktionsutbildningar		
MAHGK119FU02	GK Stabstjänst	2026-03-09	2026-03-13	2026-01-11	MRM	ESO	Funktionsutbildningar		
IKGRG18	IK GRG18	2026-03-10	2026-03-14	2026-01-11	SLG	Strängnäs	Instruktörsutbildningar		
MAHFÖ2111555	IK KSP	2026-03-10	2026-03-14	2026-01-11	SLG	Strängnäs	Instruktörsutbildningar		
MAHGK2011222	Plutonchefskurs 1	2026-01-16	2026-01-25	2025-11-23	ÖVG	Villingsberg	Chefsutbildningar		
GC12	Gruppchefskurs 12	2026-02-16	2026-03-01	2025-11-23	EBG	Göteborg	Chefsutbildningar		
MAHGK119GP00	Gruppchefskurs X	2026-02-20	2026-03-01	2025-11-23	MRV	Skövde	Chefsutbildningar		
MAHGK119KB10	Kompanistridskurs	2026-03-02	2026-03-06	2025-12-07	SKG	Skövde	Chefsutbildningar		
MAHGK119KB00	Bataljonstridskurs	2026-03-04	2026-03-08	2025-12-07	MRV	Skövde	Chefsutbildningar		
MAHFK2011181	Gruppchefskurs 2	2026-03-16	2026-03-25	2026-01-04	HAG	Halmstad	Chefsutbildningar		
MAHGK119FU02	Grundkurs stabstjänst	2026-08-17	2026-08-21	2026-05-24	SKG	Skövde	Chefsutbildningar		
MAHGK119KB11	Kompanichefskurs 1	2026-11-02	2026-11-11	2026-08-09	BDG	Skredsvik	Chefsutbildningar		
MAHFK2011223	Plutonchefskurs 2	2026-11-02	2026-11-11	2026-08-09	BDG	Skredsvik	Chefsutbildningar		
GKMOTORSÅG	Motorsåg nivå 1 och 2	2026-05-04	2026-05-04	2026-02-08	SKG	Kråk	Funktionsutbildningar		
GKUAV06A	Grundkurs MRPAS	2026-03-04	2026-03-08	2025-12-07	MRV	Skövde	Funktionsutbildningar		
GKUAV06A	Grundkurs MRPAS	2026-05-27	2026-05-31	2026-03-01	MRV	Skövde	Funktionsutbildningar		
GKUAV06A	Grundkurs MRPAS	2026-09-23	2026-09-27	2026-06-28	MRV	ESO	Funktionsutbildningar		
GKUAV06A	Grundkurs MRPAS	2026-11-18	2026-11-22	2026-08-23	MRV	ESO	Funktionsutbildningar		
IKTMM	Instruktörskurs TMM	2026-02-25	2026-03-01	2025-11-30	SKG	Skövde	Instruktörsutbildningar		
HVT423F1000	"Grundkurs övnled AK ""GKÖLAK"""	2026-03-02	2026-03-09	2025-12-07	HAG	Halmstad	Instruktörsutbildningar		
UNDGK311SF11	Instruktörskurs skyddsvakt	2026-03-04	2026-03-08	2025-12-07	HAG	Halmstad	Instruktörsutbildningar		
MAR423FBANK	Instruktörskurs närkamp bas	2026-06-08, 2026-06-22	2026-06-12, 2026-06-26	2026-03-22	EBG	Göteborg	Instruktörsutbildningar		
LOGGK404040	Instruktörskurs TOS	2026-08-19	2026-08-23	2026-05-24	EBG	ESO	Instruktörsutbildningar		
C16020	Instruktörskurs CBRN	2026-08-19	2026-08-19	2026-05-24	EBG	Landvetter	Instruktörsutbildningar		
MAHGK9090001	Instruktörskurs 1	2026-08-17	2026-08-26	2026-05-24	ÖVG	Villingsberg	Instruktörsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-04-17	2026-04-26	2026-03-08	FJG	Kråk	Chefsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-04-17	2026-04-26	2026-03-08	FJG	Östersund	Chefsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-06-29	2026-07-05	2026-05-10	NBG	Boden	Chefsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-08-17	2026-08-26	2026-06-07	VBG	Umeå	Chefsutbildningar		
MAHGK2011230	Gruppchefskurs 1	2026-11-13	2026-11-22	2026-10-15	LJG	Kalixfors	Chefsutbildningar		
MAHFK2011181	Gruppchefskurs 2	2026-10-30	2026-11-08	2026-09-13	FJG	Östersund	Chefsutbildningar		
MAHGK2011222	Plutonchefskurs 1	2026-06-29	2026-07-05	2026-05-10	NBG	Boden	Chefsutbildningar		
MAHGK2011222	Plutonchefskurs 1	2026-10-30	2026-11-08	2026-09-13	FJG	Östersund	Chefsutbildningar		
MAHGK2011222	Plutonchefskurs 1	2026-11-23	2026-12-02	2026-10-12	VNG	Härnösand	Chefsutbildningar		
MAHFK2011223	Plutonchefskurs 2	2026-11-23	2026-12-02	2026-10-12	VNG	Härnösand	Chefsutbildningar		
MAHGK119KB11	Kompanichefskurs 1	2026-11-23	2026-12-02	2026-10-12	VNG	Härnösand	Chefsutbildningar		
MAHGK119VA01	Grundkurs Granatgevär	2026-09-28	2026-10-02	2026-06-07	VBG	Tåme	Funktionsutbildningar		
MAHGK119VA04	Grundkurs KSP 58	2026-09-28	2026-10-02	2026-06-07	VBG	Tåme	Funktionsutbildningar		
GKUAV06A	GK MRPAS	2026-01-29	2026-02-01	2026-01-07	FJG	Östersund	Funktionsutbildningar		
GKUAV06A	GK MRPAS	2026-04-23	2026-04-26	2026-04-01	LJG	Kalixfors	Funktionsutbildningar		
GKUAV06A	GK MRPAS	2026-08-13	2026-08-16	2026-06-07	VBG	Umeå	Funktionsutbildningar		
GKUAV06A	GK MRPAS	2026-09-03	2026-09-06	2026-08-02	FJG	Östersund	Funktionsutbildningar		
GKUAV06A	GK MRPAS	2026-11-12	2026-11-15	2026-10-04	FJG	Östersund	Funktionsutbildningar		
MAHGK119FU02	GK Stabstjänst	2026-05-27	2026-05-31	2026-04-19	FJG	Östersund	Funktionsutbildningar		
MAHGK119FU02	GK Stabstjänst	2026-10-14	2026-10-18	2026-09-06	FJG	Östersund	Funktionsutbildningar		
IKGRG18	Instruktörskurs GRG m/18 VTA och UTS	2026-01-20	2026-01-21	2025-11-15	VBG	Boden	Instruktörsutbildningar		
IKTMM	Instruktörskurs TMM	2026-02-16	2026-02-19	2026-01-18	VBG	Umeå	Instruktörsutbildningar		
LOGGK404040	Instruktörskurs TOS	2026-02-16	2026-02-19	2026-01-18	VBG	Umeå	Instruktörsutbildningar		
MAHGK9090001	Instruktörskurs 1	2026-02-23	2026-03-01	2026-01-19	VNG	Härnösand	Instruktörsutbildningar		
MAHGK9090001	Instruktörskurs 1	2026-08-17	2026-08-26	2026-06-07	VBG	Umeå	Instruktörsutbildningar		
MAHGK9090001	Instruktörskurs 1	2026-03-11, 2026-05-20	2026-03-15, 2026-05-24	2026-02-01	FJG	Östersund	Instruktörsutbildningar		
MAHFK2011553	Instruktörskurs 2	2026-09-24, 2026-10-08	2026-09-27, 2026-10-11	2026-08-23	NBG	Boden	Instruktörsutbildningar		
MAHFK2011553	Instruktörskurs 2	2026-11-02	2026-11-11	2026-09-06	VBG	Umeå	Instruktörsutbildningar		
MAHFK2011553	Instruktörskurs 2	2026-11-13	2026-11-22	2026-10-15	LJG	Kalixfors	Instruktörsutbildningar		
HVT423F1000	GKÖLAK	2026-04-17	2026-04-26	2026-04-01	LJG	Kalixfors	Instruktörsutbildningar		
HVT423F1000	GKÖLAK	2026-11-13	2026-11-22	2026-10-15	LJG	Kalixfors	Instruktörsutbildningar		
HVT423F1000	GKÖLAK	2026-04-25	2026-04-26	2026-03-22	NBG	Boden	Instruktörsutbildningar		Repetition
UNDGK311SF11	IK Skyddsvakt	2026-10-19	2026-10-23	2026-09-20	NBG	Boden	Instruktörsutbildningar		
GKSENSOR	GK Sensor	2026-11-16	2026-11-22	2026-10-11	FJG	Östersund	Funktionsutbildningar		
